,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2,x=1,x=2,x=4
n=1,3.9735136403429294e-08,6.357000991163986e-07,1.01672293290056e-05,0.00016242171064473343,0.0025825618903727587,0.040302305868139765,0.5838531634528576,6.346356379136388
n=2,-1.2934098236883074e-12,-8.27784507606566e-11,-5.296712624058841e-09,-3.38706021896229e-07,-2.160477629387092e-05,-0.0013643607985268646,-0.08281350321380909,-4.320310287530279
n=3,1.1102230246251565e-16,5.773159728050814e-15,1.478039912683471e-12,3.7817948772556065e-10,9.661259503523922e-08,2.4528090362019306e-05,0.006075385675079814,1.3685786013586103
n=4,0.0,0.0,-3.3306690738754696e-16,-2.6267876762631204e-13,-2.686054711986685e-10,-2.734969396511744e-07,-0.00027382067412651256,-0.25681822403821514
n=8,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-4.0517533772543857e-11,-1.0296711769219868e-05
n=16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
