,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2,x=1,x=2,x=4
n=1,3.9754547803724075e-06,6.369441306215188e-05,0.0010247286252856038,0.016766112066553127,0.29514993032831527,8.060461173627953,58.385316345285766,90.66223398766269
n=2,1.2940416285316445e-10,8.294039097970839e-09,5.338364290428046e-07,3.495732905308972e-05,0.0024617905331888526,0.2518819935741904,24.844050964142728,117.82664420537124
n=3,1.1107653463805314e-14,5.784453812224988e-13,1.4896627572336852e-10,3.903133858119825e-08,1.100894774654127e-05,0.004539903614563985,1.4389071335715349,67.67696380344776
n=4,0.0,0.0,3.356860415905053e-14,2.7110682218571762e-11,3.0607430318335035e-08,5.0619217841337394e-05,0.06584237583958126,64.71819245763022
n=8,0.0,0.0,0.0,0.0,0.0,2.0548182241074962e-14,9.736355107892029e-09,0.0015753039798851937
n=16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
