,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2,x=1,x=2,x=4
n=1,0.0004990100860595703,0.0002846717834472656,0.0002624988555908203,0.00026154518127441406,0.00029349327087402344,0.00021386146545410156,0.0002117156982421875,0.00020813941955566406
n=2,0.00043845176696777344,0.00042438507080078125,0.000415802001953125,0.00041556358337402344,0.0004127025604248047,0.0003631114959716797,0.0003361701965332031,0.0003268718719482422
n=3,0.0005786418914794922,0.000438690185546875,0.0003693103790283203,0.00037217140197753906,0.00036787986755371094,0.0003159046173095703,0.00031375885009765625,0.0002961158752441406
n=4,0.0004734992980957031,0.0004680156707763672,0.0004668235778808594,0.000469207763671875,0.0004687309265136719,0.00040793418884277344,0.00038886070251464844,0.0003669261932373047
n=8,0.0008664131164550781,0.0008559226989746094,0.0008752346038818359,0.0007636547088623047,0.0006444454193115234,0.000537872314453125,0.0005376338958740234,0.0005154609680175781
n=16,0.0012562274932861328,0.0012273788452148438,0.0014200210571289062,0.0012497901916503906,0.0012350082397460938,0.000843048095703125,0.0008311271667480469,0.0008120536804199219
n=32,0.0020155906677246094,0.001960277557373047,0.0019674301147460938,0.0017082691192626953,0.0016109943389892578,0.0013523101806640625,0.0013740062713623047,0.0013628005981445312
n=64,0.003332853317260742,0.0030107498168945312,0.0029065608978271484,0.0027425289154052734,0.0025403499603271484,0.002444744110107422,0.002339601516723633,0.0022470951080322266
n=128,0.006200075149536133,0.006727933883666992,0.008331298828125,0.006847858428955078,0.006623983383178711,0.005196809768676758,0.005186557769775391,0.00503087043762207
n=256,0.010814905166625977,0.011345863342285156,0.012519598007202148,0.015491247177124023,0.014419317245483398,0.01214146614074707,0.012500286102294922,0.012712717056274414
