,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2,x=1,x=2,x=4
n=1,0.0004934074991027604,0.001994458917859321,0.008148453066826322,0.034025416687741394,0.1487212707001282,0.7182818284590451,4.38905609893065,49.598150033144236
n=2,5.126249102760383e-06,4.1333917859320835e-05,0.0003359530668263222,0.0027754166877413944,0.023721270700128194,0.2182818284590451,2.3890560989306504,41.598150033144236
n=3,3.998608200106446e-08,6.43813692580153e-07,1.0432233493062881e-05,0.0001712500210746537,0.002887937366794935,0.05161516179237857,1.0557227655973174,30.93148336647757
n=4,2.496520767891752e-10,8.030815124016044e-09,2.5970745132219974e-07,8.489604408135065e-06,0.00028377070012819416,0.00994849512571161,0.3890560989306504,20.2648166998109
n=8,0.0,0.0,2.0872192862952943e-14,1.078115374752997e-11,5.6641658030542885e-09,3.0586177750535626e-06,0.001754511629062705,1.166404001398206
n=16,0.0,0.0,0.0,0.0,0.0,2.6645352591003757e-15,4.142348686286823e-10,6.185050578721984e-05
n=32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
