,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2,x=1,x=2,x=4
n=1,1.03125,1.0625,1.125,1.25,1.5,2.0,3.0,5.0
n=2,1.03173828125,1.064453125,1.1328125,1.28125,1.625,2.5,5.0,13.0
n=3,1.0317433675130208,1.0644938151041667,1.1331380208333333,1.2838541666666667,1.6458333333333333,2.6666666666666665,6.333333333333333,23.666666666666668
n=4,1.0317434072494507,1.0644944508870442,1.133148193359375,1.2840169270833333,1.6484375,2.7083333333333335,7.0,34.333333333333336
n=8,1.0317434074991028,1.0644944589178593,1.1331484530668055,1.2840254166769602,1.6487212650359624,2.71827876984127,7.387301587301588,53.43174603174603
n=16,1.0317434074991028,1.0644944589178593,1.1331484530668263,1.2840254166877414,1.6487212707001282,2.7182818284590424,7.3890560985164155,54.59808818263845
n=32,1.0317434074991028,1.0644944589178593,1.1331484530668263,1.2840254166877414,1.6487212707001282,2.718281828459045,7.38905609893065,54.598150033144236
n=64,1.0317434074991028,1.0644944589178593,1.1331484530668263,1.2840254166877414,1.6487212707001282,2.718281828459045,7.38905609893065,54.598150033144236
n=128,1.0317434074991028,1.0644944589178593,1.1331484530668263,1.2840254166877414,1.6487212707001282,2.718281828459045,7.38905609893065,54.598150033144236
n=256,1.0317434074991028,1.0644944589178593,1.1331484530668263,1.2840254166877414,1.6487212707001282,2.718281828459045,7.38905609893065,54.598150033144236
Exact Value,1.0317434074991028,1.0644944589178593,1.1331484530668263,1.2840254166877414,1.6487212707001282,2.718281828459045,7.38905609893065,54.598150033144236
