,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2,x=1,x=2,x=4
n=1,0.0004608631134033203,0.0002703666687011719,0.00022482872009277344,0.00022172927856445312,0.000217437744140625,0.00017523765563964844,0.0001728534698486328,0.00017023086547851562
n=2,0.0003361701965332031,0.0003311634063720703,0.0003299713134765625,0.00032901763916015625,0.0003256797790527344,0.0003371238708496094,0.0003554821014404297,0.0003407001495361328
n=3,0.0005877017974853516,0.0005636215209960938,0.0004913806915283203,0.0005002021789550781,0.0004961490631103516,0.00038623809814453125,0.00035881996154785156,0.0003581047058105469
n=4,0.0005552768707275391,0.000392913818359375,0.00038814544677734375,0.0003914833068847656,0.00039958953857421875,0.0003235340118408203,0.00030803680419921875,0.00029730796813964844
n=8,0.0007202625274658203,0.0007116794586181641,0.0007536411285400391,0.0008270740509033203,0.0007126331329345703,0.0005953311920166016,0.0005788803100585938,0.0005900859832763672
n=16,0.0012307167053222656,0.0010268688201904297,0.0010368824005126953,0.0010154247283935547,0.0010089874267578125,0.0008387565612792969,0.0008554458618164062,0.0008196830749511719
n=32,0.002007722854614258,0.0016155242919921875,0.0016179084777832031,0.0015888214111328125,0.001596212387084961,0.0013422966003417969,0.00128173828125,0.0010905265808105469
n=64,0.0027282238006591797,0.0027031898498535156,0.0026254653930664062,0.0022656917572021484,0.0022640228271484375,0.0018877983093261719,0.001875162124633789,0.0017402172088623047
n=128,0.004594326019287109,0.004481315612792969,0.004302024841308594,0.004248380661010742,0.004245758056640625,0.0038776397705078125,0.004979372024536133,0.003833293914794922
n=256,0.01198267936706543,0.012152671813964844,0.011117935180664062,0.010102987289428711,0.009421586990356445,0.007698535919189453,0.007863521575927734,0.007970094680786133
