,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2
n=1,-0.0004986983145802981,-0.002038521137571178,-0.008531392624522627,-0.0376820724517809,-0.1931471805599453
n=2,-1.0417064580298119e-05,-8.539613757117814e-05,-0.0007188926245226268,-0.006432072451780901,-0.06814718055994529
n=3,-2.4453853863376507e-07,-4.015929237849436e-06,-6.78509578559694e-05,-0.0012237391184475865,-0.026480513893278657
n=4,-6.119959532202568e-09,-2.01231972224436e-07,-6.815801605969396e-06,-0.00024717661844758654,-0.010855513893278657
n=8,-3.247402347028583e-15,-1.7133239271771572e-12,-9.329287342652037e-10,-5.473576124015445e-07,-0.00039699454804054124
n=16,0.0,0.0,-2.7755575615628914e-17,-4.4835801737974634e-12,-8.522949418443559e-07
n=32,0.0,0.0,0.0,0.0,-6.8588468238317546e-12
n=64,0.0,0.0,0.0,0.0,0.0
n=128,0.0,0.0,0.0,0.0,0.0
n=256,0.0,0.0,0.0,0.0,0.0
