,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2
n=1,-0.03125,-0.0625,-0.125,-0.25,-0.5
n=2,-0.03173828125,-0.064453125,-0.1328125,-0.28125,-0.625
n=3,-0.031748453776041664,-0.06453450520833333,-0.13346354166666666,-0.2864583333333333,-0.6666666666666666
n=4,-0.031748692194620766,-0.06453831990559895,-0.13352457682291666,-0.2874348958333333,-0.6822916666666666
n=8,-0.03174869831457705,-0.06453852113585785,-0.1335313916915939,-0.2876815250941685,-0.6927501860119047
n=16,-0.0317486983145803,-0.06453852113757118,-0.1335313926245226,-0.2876820724472973,-0.6931463282650034
n=32,-0.0317486983145803,-0.06453852113757118,-0.13353139262452263,-0.2876820724517809,-0.6931471805530864
n=64,-0.0317486983145803,-0.06453852113757118,-0.13353139262452263,-0.2876820724517809,-0.6931471805599453
n=128,-0.0317486983145803,-0.06453852113757118,-0.13353139262452263,-0.2876820724517809,-0.6931471805599453
n=256,-0.0317486983145803,-0.06453852113757118,-0.13353139262452263,-0.2876820724517809,-0.6931471805599453
Exact Value,-0.0317486983145803,-0.06453852113757118,-0.13353139262452263,-0.2876820724517809,-0.6931471805599453
