,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2
n=1,1.595834606656954,3.261633820113885,6.8251140996181014,15.07282898071236,38.62943611198906
n=2,0.032821766554539306,0.1324934013225552,0.5412838584640955,2.286959093966543,10.903548889591246
n=3,0.0007702376322285691,0.006222917840440589,0.05083857134964341,0.4271962013489757,3.9720770839917985
n=4,1.927625709647178e-05,0.00031180230988160315,0.0051045296440135265,0.08599394924926228,1.5910371507706123
n=8,1.0228458234262711e-11,2.6547306895528286e-09,6.986587366811169e-07,0.0001902651246799302,0.057307028717812424
n=16,0.0,0.0,2.078580554737036e-14,1.5585191442955992e-09,0.0001229603197895765
n=32,0.0,0.0,0.0,0.0,9.895224299057006e-10
n=64,0.0,0.0,0.0,0.0,0.0
n=128,0.0,0.0,0.0,0.0,0.0
n=256,0.0,0.0,0.0,0.0,0.0
