,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2,x=1,x=2,x=4
n=1,2.483469124792137e-10,7.946546864978643e-09,2.542185610215908e-07,8.125921189594543e-06,0.0002588719375363202,0.008137651474563135,0.24263076015901508,5.9098641713587385
n=2,-5.773159728050814e-15,-7.391032230685823e-13,-9.459001637512898e-11,-1.2099643731389165e-08,-1.5447291303316568e-06,-0.0001956818587701692,-0.02403590650765164,-2.6234691619745947
n=3,0.0,4.163336342344337e-17,2.052524816775758e-14,1.0506318037784013e-11,5.370075994992618e-09,2.7308396425285153e-06,0.001360918889173779,0.6273244888190559
n=4,0.0,0.0,0.0,-5.9674487573602164e-15,-1.2212897360086572e-11,-2.4892279903987458e-08,-5.001585509434303e-05,-0.09507410024619978
n=8,0.0,0.0,0.0,0.0,0.0,0.0,-4.269251618893577e-12,-2.176239324080953e-06
n=16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
