,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2,x=1,x=2,x=4
n=1,7.94839488339789e-07,1.2722758029557989e-05,0.00020390585364447178,0.003284582880846636,0.05402544783366682,0.976518176947576,36.39461402385226,88.64796257038108
n=2,1.8477118326397263e-11,1.1833354070965154e-09,7.586943539802407e-08,4.89064248450084e-06,0.00032220314288286593,0.023249329754871588,2.5752756972483897,140.54299082006756
n=3,0.0,6.665676933665472e-14,1.646303754614079e-11,4.246624859960928e-09,1.1201063820624978e-06,0.00032453269979589055,0.14989141611529383,45.322755499541884
n=4,0.0,0.0,0.0,2.4120263779695264e-12,2.547402333912379e-09,2.9581862734471148e-06,0.0055001919779853565,14.367541268548848
n=8,0.0,0.0,0.0,0.0,0.0,0.0,4.695110194886734e-10,0.00028755792898703527
n=16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n=256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
