,x=1/32,x=1/16,x=1/8,x=1/4,x=1/2,x=1,x=2,x=4
n=1,0.0003631114959716797,0.0002086162567138672,0.00019240379333496094,0.00018668174743652344,0.00018715858459472656,0.00015282630920410156,0.0002994537353515625,0.0002009868621826172
n=2,0.0003399848937988281,0.00022745132446289062,0.00030684471130371094,0.00023484230041503906,0.0002453327178955078,0.00017499923706054688,0.00016832351684570312,0.0001671314239501953
n=3,0.00029397010803222656,0.0002830028533935547,0.00028324127197265625,0.0002796649932861328,0.000293731689453125,0.0002353191375732422,0.00022602081298828125,0.0002224445343017578
n=4,0.0003628730773925781,0.000354766845703125,0.00035381317138671875,0.00035500526428222656,0.0003514289855957031,0.0002887248992919922,0.00028252601623535156,0.0002944469451904297
n=8,0.0006649494171142578,0.0006468296051025391,0.0006508827209472656,0.0005781650543212891,0.000514984130859375,0.0004425048828125,0.0004239082336425781,0.0004456043243408203
n=16,0.0010194778442382812,0.0009996891021728516,0.0010013580322265625,0.0011739730834960938,0.0010256767272949219,0.0008893013000488281,0.0009806156158447266,0.001195669174194336
n=32,0.002574920654296875,0.0017733573913574219,0.001650094985961914,0.0016455650329589844,0.001546621322631836,0.0018889904022216797,0.0013201236724853516,0.0014386177062988281
n=64,0.0036275386810302734,0.0032732486724853516,0.003074169158935547,0.0032007694244384766,0.0029916763305664062,0.002430438995361328,0.002408742904663086,0.0023343563079833984
n=128,0.006090402603149414,0.006470680236816406,0.005864381790161133,0.005667209625244141,0.0055501461029052734,0.004656076431274414,0.00472712516784668,0.004863739013671875
n=256,0.010673999786376953,0.011343240737915039,0.012494325637817383,0.015341043472290039,0.014620304107666016,0.012321949005126953,0.012525558471679688,0.012817621231079102
